// Ejercicio 1

Carácter    Decimal    Binario (8 bits)
E             69         01000101
m             109        01101101
p             112        01110000
e             101        01100101
z             122        01111010
a             97         01100001
m             109        01101101
o             111        01101111
s             115        01110011
(espacio)     32         00100000
e             101        01100101
l             108        01101100
(espacio)     32         00100000
t             116        01110100
é             233        11101001
c             99         01100011
n             110        01101110
i             105        01101001 
c             99         01100011 
o             111        01101111

// Mi Nombre

Carácter    Decimal    Binario (8 bits)
E             69         01000101
m             109        01101101
e             101        01100101
l             108        01101100
i             105        01101001
e             101        01100101
